stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
91	mimmi_ch	mimmi_ch_FL_0_091	0.225	0.061	18.704	0.451	0.151	0.073	0.488	0.324	0.415	45.995	36.48	9.515	0.091
92	mimmi_ch	mimmi_ch_FL_0_092	0.225	0.061	18.704	0.454	0.152	0.072	0.488	0.324	0.416	45.995	36.632	9.363	0.092
93	mimmi_ch	mimmi_ch_FL_0_093	0.225	0.061	18.704	0.458	0.153	0.071	0.488	0.324	0.417	45.995	36.782	9.213	0.093
94	mimmi_ch	mimmi_ch_FL_0_094	0.225	0.061	18.704	0.461	0.154	0.07	0.488	0.324	0.418	45.995	36.932	9.063	0.094
95	mimmi_ch	mimmi_ch_FL_0_095	0.225	0.061	18.704	0.465	0.155	0.069	0.488	0.324	0.419	45.995	37.081	8.914	0.095
96	mimmi_ch	mimmi_ch_FL_0_096	0.225	0.061	18.704	0.468	0.156	0.068	0.488	0.324	0.42	45.995	37.229	8.766	0.096
97	mimmi_ch	mimmi_ch_FL_0_097	0.225	0.061	18.704	0.472	0.157	0.067	0.488	0.324	0.421	45.995	37.377	8.618	0.097
98	mimmi_ch	mimmi_ch_FL_0_098	0.225	0.061	18.704	0.476	0.158	0.066	0.488	0.324	0.422	45.995	37.524	8.471	0.098
99	mimmi_ch	mimmi_ch_FL_0_099	0.225	0.061	18.704	0.479	0.159	0.065	0.488	0.324	0.423	45.995	37.67	8.325	0.099
100	mimmi_ch	mimmi_ch_FL_0_100	0.225	0.061	18.704	0.483	0.16	0.064	0.488	0.324	0.424	45.995	37.815	8.18	0.1
101	mimmi_ch	mimmi_ch_FL_0_101	0.225	0.061	18.704	0.487	0.161	0.063	0.488	0.324	0.425	45.995	37.96	8.035	0.101
102	mimmi_ch	mimmi_ch_FL_0_102	0.225	0.061	18.704	0.491	0.162	0.062	0.488	0.324	0.426	45.995	38.105	7.891	0.102
103	mimmi_ch	mimmi_ch_FL_0_103	0.225	0.061	18.704	0.495	0.163	0.061	0.488	0.324	0.427	45.995	38.248	7.747	0.103
104	mimmi_ch	mimmi_ch_FL_0_104	0.225	0.061	18.704	0.499	0.164	0.06	0.488	0.324	0.428	45.995	38.391	7.604	0.104
105	mimmi_ch	mimmi_ch_FL_0_105	0.225	0.061	18.704	0.503	0.165	0.059	0.488	0.324	0.429	45.995	38.533	7.462	0.105
106	mimmi_ch	mimmi_ch_FL_0_106	0.225	0.061	18.704	0.507	0.166	0.058	0.488	0.324	0.43	45.995	38.675	7.32	0.106
107	mimmi_ch	mimmi_ch_FL_0_107	0.225	0.061	18.704	0.512	0.167	0.057	0.488	0.324	0.431	45.995	38.816	7.18	0.107
108	mimmi_ch	mimmi_ch_FL_0_108	0.225	0.061	18.704	0.516	0.168	0.056	0.488	0.324	0.432	45.995	38.956	7.039	0.108
109	mimmi_ch	mimmi_ch_FL_0_109	0.225	0.061	18.704	0.521	0.169	0.055	0.488	0.324	0.433	45.995	39.095	6.9	0.109
110	mimmi_ch	mimmi_ch_FL_0_110	0.225	0.061	18.704	0.525	0.17	0.054	0.488	0.324	0.434	45.995	39.234	6.761	0.11
111	mimmi_ch	mimmi_ch_FL_0_111	0.225	0.061	18.704	0.53	0.171	0.053	0.488	0.324	0.435	45.995	39.373	6.622	0.111
112	mimmi_ch	mimmi_ch_FL_0_112	0.225	0.061	18.704	0.534	0.172	0.052	0.488	0.324	0.436	45.995	39.51	6.485	0.112
113	mimmi_ch	mimmi_ch_FL_0_113	0.225	0.061	18.704	0.539	0.173	0.051	0.488	0.324	0.437	45.995	39.648	6.348	0.113
114	mimmi_ch	mimmi_ch_FL_0_114	0.225	0.061	18.704	0.544	0.174	0.05	0.488	0.324	0.438	45.995	39.784	6.211	0.114
115	mimmi_ch	mimmi_ch_FL_0_115	0.225	0.061	18.704	0.549	0.175	0.049	0.488	0.324	0.439	45.995	39.92	6.075	0.115
116	mimmi_ch	mimmi_ch_FL_0_116	0.225	0.061	18.704	0.554	0.176	0.048	0.488	0.324	0.44	45.995	40.055	5.94	0.116
117	mimmi_ch	mimmi_ch_FL_0_116	0.225	0.061	18.704	0.559	0.177	0.047	0.488	0.324	0.441	45.995	40.19	5.805	0.116
118	mimmi_ch	mimmi_ch_FL_0_117	0.225	0.061	18.704	0.564	0.178	0.046	0.488	0.324	0.442	45.995	40.324	5.671	0.117
119	mimmi_ch	mimmi_ch_FL_0_118	0.225	0.061	18.704	0.569	0.179	0.045	0.488	0.324	0.443	45.995	40.457	5.538	0.118
120	mimmi_ch	mimmi_ch_FL_0_119	0.225	0.061	18.704	0.575	0.18	0.044	0.488	0.324	0.444	45.995	40.59	5.405	0.119
