stepID	filename	nameNew	riseOrig	l2Orig	h2Orig	riseNew	h2New	diffRise
99	nelli_ch	nelli_ch_rise_11_13	13.1123	161.3699	344.1556	11.1323	306.9622	1.98
100	nelli_ch	nelli_ch_rise_11_11	13.1123	161.3699	344.1556	11.1123	306.6078	2
101	nelli_ch	nelli_ch_rise_11_09	13.1123	161.3699	344.1556	11.0923	306.2538	2.02
102	nelli_ch	nelli_ch_rise_11_07	13.1123	161.3699	344.1556	11.0723	305.9002	2.04
103	nelli_ch	nelli_ch_rise_11_05	13.1123	161.3699	344.1556	11.0523	305.547	2.06
104	nelli_ch	nelli_ch_rise_11_03	13.1123	161.3699	344.1556	11.0323	305.1942	2.08
105	nelli_ch	nelli_ch_rise_11_01	13.1123	161.3699	344.1556	11.0123	304.8419	2.1
106	nelli_ch	nelli_ch_rise_10_99	13.1123	161.3699	344.1556	10.9923	304.4899	2.12
107	nelli_ch	nelli_ch_rise_10_97	13.1123	161.3699	344.1556	10.9723	304.1384	2.14
108	nelli_ch	nelli_ch_rise_10_95	13.1123	161.3699	344.1556	10.9523	303.7872	2.16
109	nelli_ch	nelli_ch_rise_10_93	13.1123	161.3699	344.1556	10.9323	303.4365	2.18
110	nelli_ch	nelli_ch_rise_10_91	13.1123	161.3699	344.1556	10.9123	303.0861	2.2
111	nelli_ch	nelli_ch_rise_10_89	13.1123	161.3699	344.1556	10.8923	302.7362	2.22
112	nelli_ch	nelli_ch_rise_10_87	13.1123	161.3699	344.1556	10.8723	302.3866	2.24
113	nelli_ch	nelli_ch_rise_10_85	13.1123	161.3699	344.1556	10.8523	302.0375	2.26
114	nelli_ch	nelli_ch_rise_10_83	13.1123	161.3699	344.1556	10.8323	301.6888	2.28
115	nelli_ch	nelli_ch_rise_10_81	13.1123	161.3699	344.1556	10.8123	301.3405	2.3
116	nelli_ch	nelli_ch_rise_10_79	13.1123	161.3699	344.1556	10.7923	300.9925	2.32
117	nelli_ch	nelli_ch_rise_10_77	13.1123	161.3699	344.1556	10.7723	300.645	2.34
118	nelli_ch	nelli_ch_rise_10_75	13.1123	161.3699	344.1556	10.7523	300.2979	2.36
119	nelli_ch	nelli_ch_rise_10_73	13.1123	161.3699	344.1556	10.7323	299.9512	2.38
120	nelli_ch	nelli_ch_rise_10_71	13.1123	161.3699	344.1556	10.7123	299.6049	2.4
121	nelli_ch	nelli_ch_rise_10_69	13.1123	161.3699	344.1556	10.6923	299.259	2.42
122	nelli_ch	nelli_ch_rise_10_67	13.1123	161.3699	344.1556	10.6723	298.9134	2.44
123	nelli_ch	nelli_ch_rise_10_65	13.1123	161.3699	344.1556	10.6523	298.5683	2.46
124	nelli_ch	nelli_ch_rise_10_63	13.1123	161.3699	344.1556	10.6323	298.2236	2.48
125	nelli_ch	nelli_ch_rise_10_61	13.1123	161.3699	344.1556	10.6123	297.8793	2.5
126	nelli_ch	nelli_ch_rise_10_59	13.1123	161.3699	344.1556	10.5923	297.5354	2.52
127	nelli_ch	nelli_ch_rise_10_57	13.1123	161.3699	344.1556	10.5723	297.1918	2.54
128	nelli_ch	nelli_ch_rise_10_55	13.1123	161.3699	344.1556	10.5523	296.8487	2.56
129	nelli_ch	nelli_ch_rise_10_53	13.1123	161.3699	344.1556	10.5323	296.506	2.58
130	nelli_ch	nelli_ch_rise_10_51	13.1123	161.3699	344.1556	10.5123	296.1636	2.6
131	nelli_ch	nelli_ch_rise_10_49	13.1123	161.3699	344.1556	10.4923	295.8217	2.62
132	nelli_ch	nelli_ch_rise_10_47	13.1123	161.3699	344.1556	10.4723	295.4801	2.64
133	nelli_ch	nelli_ch_rise_10_45	13.1123	161.3699	344.1556	10.4523	295.139	2.66
134	nelli_ch	nelli_ch_rise_10_43	13.1123	161.3699	344.1556	10.4323	294.7982	2.68
135	nelli_ch	nelli_ch_rise_10_41	13.1123	161.3699	344.1556	10.4123	294.4578	2.7
136	nelli_ch	nelli_ch_rise_10_39	13.1123	161.3699	344.1556	10.3923	294.1179	2.72
137	nelli_ch	nelli_ch_rise_10_37	13.1123	161.3699	344.1556	10.3723	293.7783	2.74
138	nelli_ch	nelli_ch_rise_10_35	13.1123	161.3699	344.1556	10.3523	293.4391	2.76
139	nelli_ch	nelli_ch_rise_10_33	13.1123	161.3699	344.1556	10.3323	293.1003	2.78
140	nelli_ch	nelli_ch_rise_10_31	13.1123	161.3699	344.1556	10.3123	292.7619	2.8
141	nelli_ch	nelli_ch_rise_10_29	13.1123	161.3699	344.1556	10.2923	292.4239	2.82
142	nelli_ch	nelli_ch_rise_10_27	13.1123	161.3699	344.1556	10.2723	292.0862	2.84
143	nelli_ch	nelli_ch_rise_10_25	13.1123	161.3699	344.1556	10.2523	291.749	2.86
144	nelli_ch	nelli_ch_rise_10_23	13.1123	161.3699	344.1556	10.2323	291.4122	2.88
145	nelli_ch	nelli_ch_rise_10_21	13.1123	161.3699	344.1556	10.2123	291.0757	2.9
146	nelli_ch	nelli_ch_rise_10_19	13.1123	161.3699	344.1556	10.1923	290.7396	2.92
147	nelli_ch	nelli_ch_rise_10_17	13.1123	161.3699	344.1556	10.1723	290.404	2.94
148	nelli_ch	nelli_ch_rise_10_15	13.1123	161.3699	344.1556	10.1523	290.0687	2.96
149	nelli_ch	nelli_ch_rise_10_13	13.1123	161.3699	344.1556	10.1323	289.7338	2.98
150	nelli_ch	nelli_ch_rise_10_11	13.1123	161.3699	344.1556	10.1123	289.3992	3
151	nelli_ch	nelli_ch_rise_10_09	13.1123	161.3699	344.1556	10.0923	289.0651	3.02
152	nelli_ch	nelli_ch_rise_10_07	13.1123	161.3699	344.1556	10.0723	288.7313	3.04
153	nelli_ch	nelli_ch_rise_10_05	13.1123	161.3699	344.1556	10.0523	288.398	3.06
154	nelli_ch	nelli_ch_rise_10_03	13.1123	161.3699	344.1556	10.0323	288.065	3.08
155	nelli_ch	nelli_ch_rise_10_01	13.1123	161.3699	344.1556	10.0123	287.7324	3.1
156	nelli_ch	nelli_ch_rise_9_99	13.1123	161.3699	344.1556	9.9923	287.4002	3.12
157	nelli_ch	nelli_ch_rise_9_97	13.1123	161.3699	344.1556	9.9723	287.0684	3.14
158	nelli_ch	nelli_ch_rise_9_95	13.1123	161.3699	344.1556	9.9523	286.7369	3.16
159	nelli_ch	nelli_ch_rise_9_93	13.1123	161.3699	344.1556	9.9323	286.4059	3.18
160	nelli_ch	nelli_ch_rise_9_91	13.1123	161.3699	344.1556	9.9123	286.0752	3.2
161	nelli_ch	nelli_ch_rise_9_89	13.1123	161.3699	344.1556	9.8923	285.7449	3.22
162	nelli_ch	nelli_ch_rise_9_87	13.1123	161.3699	344.1556	9.8723	285.415	3.24
163	nelli_ch	nelli_ch_rise_9_85	13.1123	161.3699	344.1556	9.8523	285.0855	3.26
164	nelli_ch	nelli_ch_rise_9_83	13.1123	161.3699	344.1556	9.8323	284.7563	3.28
