stepID	filename	nameNew	p3Orig	p3Min	shortFC	p3New	diffp3	uttDurOrig	uttDurMin	uttDurNew
81	lilli_lisa_ch	lilli_lisa_ch_pause_0.405	0.55	0.005	0.0333	0.405	0.145	1.7782	1.2282	1.6332
82	lilli_lisa_ch	lilli_lisa_ch_pause_0.410	0.55	0.005	0.0345	0.41	0.14	1.7782	1.2282	1.6382
83	lilli_lisa_ch	lilli_lisa_ch_pause_0.415	0.55	0.005	0.0357	0.415	0.135	1.7782	1.2282	1.6432
84	lilli_lisa_ch	lilli_lisa_ch_pause_0.420	0.55	0.005	0.037	0.42	0.13	1.7782	1.2282	1.6482
85	lilli_lisa_ch	lilli_lisa_ch_pause_0.425	0.55	0.005	0.0385	0.425	0.125	1.7782	1.2282	1.6532
86	lilli_lisa_ch	lilli_lisa_ch_pause_0.430	0.55	0.005	0.04	0.43	0.12	1.7782	1.2282	1.6582
87	lilli_lisa_ch	lilli_lisa_ch_pause_0.435	0.55	0.005	0.0417	0.435	0.115	1.7782	1.2282	1.6632
88	lilli_lisa_ch	lilli_lisa_ch_pause_0.440	0.55	0.005	0.0435	0.44	0.11	1.7782	1.2282	1.6682
89	lilli_lisa_ch	lilli_lisa_ch_pause_0.445	0.55	0.005	0.0455	0.445	0.105	1.7782	1.2282	1.6732
90	lilli_lisa_ch	lilli_lisa_ch_pause_0.450	0.55	0.005	0.0476	0.45	0.1	1.7782	1.2282	1.6782
91	lilli_lisa_ch	lilli_lisa_ch_pause_0.455	0.55	0.005	0.05	0.455	0.095	1.7782	1.2282	1.6832
92	lilli_lisa_ch	lilli_lisa_ch_pause_0.460	0.55	0.005	0.0526	0.46	0.09	1.7782	1.2282	1.6882
93	lilli_lisa_ch	lilli_lisa_ch_pause_0.465	0.55	0.005	0.0556	0.465	0.085	1.7782	1.2282	1.6932
94	lilli_lisa_ch	lilli_lisa_ch_pause_0.470	0.55	0.005	0.0588	0.47	0.08	1.7782	1.2282	1.6982
95	lilli_lisa_ch	lilli_lisa_ch_pause_0.475	0.55	0.005	0.0625	0.475	0.075	1.7782	1.2282	1.7032
96	lilli_lisa_ch	lilli_lisa_ch_pause_0.480	0.55	0.005	0.0667	0.48	0.07	1.7782	1.2282	1.7082
97	lilli_lisa_ch	lilli_lisa_ch_pause_0.485	0.55	0.005	0.0714	0.485	0.065	1.7782	1.2282	1.7132
98	lilli_lisa_ch	lilli_lisa_ch_pause_0.490	0.55	0.005	0.0769	0.49	0.06	1.7782	1.2282	1.7182
99	lilli_lisa_ch	lilli_lisa_ch_pause_0.495	0.55	0.005	0.0833	0.495	0.055	1.7782	1.2282	1.7232
100	lilli_lisa_ch	lilli_lisa_ch_pause_0.500	0.55	0.005	0.0909	0.5	0.05	1.7782	1.2282	1.7282
101	lilli_lisa_ch	lilli_lisa_ch_pause_0.505	0.55	0.005	0.1	0.505	0.045	1.7782	1.2282	1.7332
102	lilli_lisa_ch	lilli_lisa_ch_pause_0.510	0.55	0.005	0.1111	0.51	0.04	1.7782	1.2282	1.7382
103	lilli_lisa_ch	lilli_lisa_ch_pause_0.515	0.55	0.005	0.125	0.515	0.035	1.7782	1.2282	1.7432
104	lilli_lisa_ch	lilli_lisa_ch_pause_0.520	0.55	0.005	0.1429	0.52	0.03	1.7782	1.2282	1.7482
105	lilli_lisa_ch	lilli_lisa_ch_pause_0.525	0.55	0.005	0.1667	0.525	0.025	1.7782	1.2282	1.7532
106	lilli_lisa_ch	lilli_lisa_ch_pause_0.530	0.55	0.005	0.2	0.53	0.02	1.7782	1.2282	1.7582
107	lilli_lisa_ch	lilli_lisa_ch_pause_0.535	0.55	0.005	0.25	0.535	0.015	1.7782	1.2282	1.7632
108	lilli_lisa_ch	lilli_lisa_ch_pause_0.540	0.55	0.005	0.3333	0.54	0.01	1.7782	1.2282	1.7682
109	lilli_lisa_ch	lilli_lisa_ch_pause_0.545	0.55	0.005	0.5	0.545	0.005	1.7782	1.2282	1.7732
110	lilli_lisa_ch	lilli_lisa_ch_pause_0.550	0.55	0.005	1	0.55	2e-006	1.7782	1.2282	1.7782
