stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
109	mimmi_03	mimmi_03_FL_0_109	0.247	0.048	19.379	0.347	0.157	0.09	0.448	0.249	0.358	55.164	43.897	11.267	0.109
110	mimmi_03	mimmi_03_FL_0_110	0.247	0.048	19.379	0.349	0.158	0.089	0.448	0.249	0.359	55.164	44.052	11.112	0.11
111	mimmi_03	mimmi_03_FL_0_111	0.247	0.048	19.379	0.352	0.159	0.088	0.448	0.249	0.36	55.164	44.205	10.959	0.111
112	mimmi_03	mimmi_03_FL_0_112	0.247	0.048	19.379	0.355	0.16	0.087	0.448	0.249	0.361	55.164	44.358	10.806	0.112
113	mimmi_03	mimmi_03_FL_0_113	0.247	0.048	19.379	0.357	0.161	0.086	0.448	0.249	0.362	55.164	44.51	10.654	0.113
114	mimmi_03	mimmi_03_FL_0_114	0.247	0.048	19.379	0.36	0.162	0.085	0.448	0.249	0.363	55.164	44.662	10.502	0.114
115	mimmi_03	mimmi_03_FL_0_115	0.247	0.048	19.379	0.363	0.163	0.084	0.448	0.249	0.364	55.164	44.812	10.352	0.115
116	mimmi_03	mimmi_03_FL_0_116	0.247	0.048	19.379	0.365	0.164	0.083	0.448	0.249	0.365	55.164	44.962	10.202	0.116
117	mimmi_03	mimmi_03_FL_0_117	0.247	0.048	19.379	0.368	0.165	0.082	0.448	0.249	0.366	55.164	45.111	10.053	0.117
118	mimmi_03	mimmi_03_FL_0_118	0.247	0.048	19.379	0.371	0.166	0.081	0.448	0.249	0.367	55.164	45.259	9.905	0.118
119	mimmi_03	mimmi_03_FL_0_119	0.247	0.048	19.379	0.374	0.167	0.08	0.448	0.249	0.368	55.164	45.406	9.758	0.119
120	mimmi_03	mimmi_03_FL_0_120	0.247	0.048	19.379	0.377	0.168	0.079	0.448	0.249	0.369	55.164	45.552	9.612	0.12
121	mimmi_03	mimmi_03_FL_0_121	0.247	0.048	19.379	0.38	0.169	0.078	0.448	0.249	0.37	55.164	45.698	9.466	0.121
122	mimmi_03	mimmi_03_FL_0_122	0.247	0.048	19.379	0.383	0.17	0.077	0.448	0.249	0.371	55.164	45.843	9.321	0.122
123	mimmi_03	mimmi_03_FL_0_123	0.247	0.048	19.379	0.386	0.171	0.076	0.448	0.249	0.372	55.164	45.987	9.177	0.123
124	mimmi_03	mimmi_03_FL_0_124	0.247	0.048	19.379	0.389	0.172	0.075	0.448	0.249	0.373	55.164	46.13	9.034	0.124
125	mimmi_03	mimmi_03_FL_0_125	0.247	0.048	19.379	0.392	0.173	0.074	0.448	0.249	0.374	55.164	46.273	8.891	0.125
126	mimmi_03	mimmi_03_FL_0_126	0.247	0.048	19.379	0.395	0.174	0.073	0.448	0.249	0.375	55.164	46.415	8.749	0.126
127	mimmi_03	mimmi_03_FL_0_127	0.247	0.048	19.379	0.398	0.175	0.072	0.448	0.249	0.376	55.164	46.556	8.608	0.127
128	mimmi_03	mimmi_03_FL_0_128	0.247	0.048	19.379	0.402	0.176	0.071	0.448	0.249	0.377	55.164	46.696	8.468	0.128
129	mimmi_03	mimmi_03_FL_0_129	0.247	0.048	19.379	0.405	0.177	0.07	0.448	0.249	0.378	55.164	46.836	8.328	0.129
130	mimmi_03	mimmi_03_FL_0_130	0.247	0.048	19.379	0.409	0.178	0.069	0.448	0.249	0.379	55.164	46.975	8.189	0.13
131	mimmi_03	mimmi_03_FL_0_131	0.247	0.048	19.379	0.412	0.179	0.068	0.448	0.249	0.38	55.164	47.113	8.051	0.131
132	mimmi_03	mimmi_03_FL_0_132	0.247	0.048	19.379	0.416	0.18	0.067	0.448	0.249	0.381	55.164	47.251	7.914	0.132
133	mimmi_03	mimmi_03_FL_0_133	0.247	0.048	19.379	0.419	0.181	0.066	0.448	0.249	0.382	55.164	47.387	7.777	0.133
134	mimmi_03	mimmi_03_FL_0_134	0.247	0.048	19.379	0.423	0.182	0.065	0.448	0.249	0.383	55.164	47.523	7.641	0.134
135	mimmi_03	mimmi_03_FL_0_135	0.247	0.048	19.379	0.427	0.183	0.064	0.448	0.249	0.384	55.164	47.659	7.505	0.135
136	mimmi_03	mimmi_03_FL_0_136	0.247	0.048	19.379	0.43	0.184	0.063	0.448	0.249	0.385	55.164	47.793	7.371	0.136
137	mimmi_03	mimmi_03_FL_0_137	0.247	0.048	19.379	0.434	0.185	0.062	0.448	0.249	0.386	55.164	47.927	7.237	0.137
138	mimmi_03	mimmi_03_FL_0_138	0.247	0.048	19.379	0.438	0.186	0.061	0.448	0.249	0.387	55.164	48.06	7.104	0.138
139	mimmi_03	mimmi_03_FL_0_139	0.247	0.048	19.379	0.442	0.187	0.06	0.448	0.249	0.388	55.164	48.193	6.971	0.139
140	mimmi_03	mimmi_03_FL_0_140	0.247	0.048	19.379	0.446	0.188	0.059	0.448	0.249	0.389	55.164	48.325	6.839	0.14
141	mimmi_03	mimmi_03_FL_0_141	0.247	0.048	19.379	0.45	0.189	0.058	0.448	0.249	0.39	55.164	48.456	6.708	0.141
142	mimmi_03	mimmi_03_FL_0_142	0.247	0.048	19.379	0.455	0.19	0.057	0.448	0.249	0.391	55.164	48.587	6.577	0.142
143	mimmi_03	mimmi_03_FL_0_143	0.247	0.048	19.379	0.459	0.191	0.056	0.448	0.249	0.392	55.164	48.717	6.447	0.143
144	mimmi_03	mimmi_03_FL_0_144	0.247	0.048	19.379	0.463	0.192	0.055	0.448	0.249	0.393	55.164	48.846	6.318	0.144
145	mimmi_03	mimmi_03_FL_0_145	0.247	0.048	19.379	0.468	0.193	0.054	0.448	0.249	0.394	55.164	48.974	6.19	0.145
146	mimmi_03	mimmi_03_FL_0_146	0.247	0.048	19.379	0.472	0.194	0.053	0.448	0.249	0.395	55.164	49.102	6.062	0.146
147	mimmi_03	mimmi_03_FL_0_147	0.247	0.048	19.379	0.477	0.195	0.052	0.448	0.249	0.396	55.164	49.23	5.934	0.147
148	mimmi_03	mimmi_03_FL_0_148	0.247	0.048	19.379	0.482	0.196	0.051	0.448	0.249	0.397	55.164	49.356	5.808	0.148
149	mimmi_03	mimmi_03_FL_0_149	0.247	0.048	19.379	0.487	0.197	0.05	0.448	0.249	0.398	55.164	49.482	5.682	0.149
150	mimmi_03	mimmi_03_FL_0_150	0.247	0.048	19.379	0.492	0.198	0.049	0.448	0.249	0.399	55.164	49.608	5.556	0.15
151	mimmi_03	mimmi_03_FL_0_150	0.247	0.048	19.379	0.497	0.199	0.048	0.448	0.249	0.4	55.164	49.733	5.431	0.15
152	mimmi_03	mimmi_03_FL_0_151	0.247	0.048	19.379	0.502	0.2	0.047	0.448	0.249	0.401	55.164	49.857	5.307	0.151
153	mimmi_03	mimmi_03_FL_0_152	0.247	0.048	19.379	0.507	0.201	0.046	0.448	0.249	0.402	55.164	49.98	5.184	0.152
154	mimmi_03	mimmi_03_FL_0_153	0.247	0.048	19.379	0.513	0.202	0.045	0.448	0.249	0.403	55.164	50.103	5.061	0.153
155	mimmi_03	mimmi_03_FL_0_154	0.247	0.048	19.379	0.518	0.203	0.044	0.448	0.249	0.404	55.164	50.226	4.938	0.154
156	mimmi_03	mimmi_03_FL_0_155	0.247	0.048	19.379	0.524	0.204	0.043	0.448	0.249	0.405	55.164	50.348	4.816	0.155
157	mimmi_03	mimmi_03_FL_0_156	0.247	0.048	19.379	0.529	0.205	0.042	0.448	0.249	0.406	55.164	50.469	4.695	0.156
158	mimmi_03	mimmi_03_FL_0_157	0.247	0.048	19.379	0.535	0.206	0.041	0.448	0.249	0.407	55.164	50.589	4.575	0.157
159	mimmi_03	mimmi_03_FL_0_158	0.247	0.048	19.379	0.541	0.207	0.041	0.448	0.249	0.408	55.164	50.709	4.455	0.158
160	mimmi_03	mimmi_03_FL_0_159	0.247	0.048	19.379	0.547	0.208	0.04	0.448	0.249	0.409	55.164	50.829	4.335	0.159
161	mimmi_03	mimmi_03_FL_0_160	0.247	0.048	19.379	0.554	0.209	0.039	0.448	0.249	0.41	55.164	50.948	4.216	0.16
162	mimmi_03	mimmi_03_FL_0_161	0.247	0.048	19.379	0.56	0.21	0.038	0.448	0.249	0.411	55.164	51.066	4.098	0.161
163	mimmi_03	mimmi_03_FL_0_162	0.247	0.048	19.379	0.567	0.211	0.037	0.448	0.249	0.412	55.164	51.184	3.981	0.162
164	mimmi_03	mimmi_03_FL_0_163	0.247	0.048	19.379	0.573	0.212	0.036	0.448	0.249	0.413	55.164	51.301	3.863	0.163
165	mimmi_03	mimmi_03_FL_0_164	0.247	0.048	19.379	0.58	0.213	0.035	0.448	0.249	0.414	55.164	51.417	3.747	0.164
166	mimmi_03	mimmi_03_FL_0_165	0.247	0.048	19.379	0.587	0.214	0.034	0.448	0.249	0.415	55.164	51.533	3.631	0.165
167	mimmi_03	mimmi_03_FL_0_166	0.247	0.048	19.379	0.595	0.215	0.033	0.448	0.249	0.416	55.164	51.649	3.515	0.166
168	mimmi_03	mimmi_03_FL_0_167	0.247	0.048	19.379	0.602	0.216	0.032	0.448	0.249	0.417	55.164	51.764	3.4	0.167
169	mimmi_03	mimmi_03_FL_0_168	0.247	0.048	19.379	0.61	0.217	0.031	0.448	0.249	0.418	55.164	51.878	3.286	0.168
170	mimmi_03	mimmi_03_FL_0_169	0.247	0.048	19.379	0.617	0.218	0.03	0.448	0.249	0.419	55.164	51.992	3.172	0.169
171	mimmi_03	mimmi_03_FL_0_170	0.247	0.048	19.379	0.625	0.219	0.029	0.448	0.249	0.42	55.164	52.105	3.059	0.17
172	mimmi_03	mimmi_03_FL_0_171	0.247	0.048	19.379	0.634	0.22	0.028	0.448	0.249	0.421	55.164	52.218	2.946	0.171
173	mimmi_03	mimmi_03_FL_0_172	0.247	0.048	19.379	0.642	0.221	0.027	0.448	0.249	0.422	55.164	52.33	2.834	0.172
174	mimmi_03	mimmi_03_FL_0_173	0.247	0.048	19.379	0.651	0.222	0.026	0.448	0.249	0.423	55.164	52.442	2.722	0.173
175	mimmi_03	mimmi_03_FL_0_174	0.247	0.048	19.379	0.66	0.223	0.025	0.448	0.249	0.423	55.164	52.553	2.611	0.174
176	mimmi_03	mimmi_03_FL_0_175	0.247	0.048	19.379	0.669	0.224	0.024	0.448	0.249	0.424	55.164	52.664	2.5	0.175
177	mimmi_03	mimmi_03_FL_0_176	0.247	0.048	19.379	0.678	0.225	0.023	0.448	0.249	0.425	55.164	52.774	2.39	0.176
178	mimmi_03	mimmi_03_FL_0_177	0.247	0.048	19.379	0.688	0.226	0.022	0.448	0.249	0.426	55.164	52.883	2.281	0.177
179	mimmi_03	mimmi_03_FL_0_178	0.247	0.048	19.379	0.698	0.227	0.021	0.448	0.249	0.427	55.164	52.993	2.172	0.178
180	mimmi_03	mimmi_03_FL_0_179	0.247	0.048	19.379	0.708	0.228	0.02	0.448	0.249	0.428	55.164	53.101	2.063	0.179
181	mimmi_03	mimmi_03_FL_0_180	0.247	0.048	19.379	0.719	0.228	0.019	0.448	0.249	0.429	55.164	53.209	1.955	0.18
182	mimmi_03	mimmi_03_FL_0_181	0.247	0.048	19.379	0.729	0.229	0.018	0.448	0.249	0.43	55.164	53.317	1.847	0.181
183	mimmi_03	mimmi_03_FL_0_182	0.247	0.048	19.379	0.741	0.23	0.017	0.448	0.249	0.431	55.164	53.424	1.74	0.182
184	mimmi_03	mimmi_03_FL_0_183	0.247	0.048	19.379	0.752	0.231	0.016	0.448	0.249	0.432	55.164	53.531	1.633	0.183
185	mimmi_03	mimmi_03_FL_0_184	0.247	0.048	19.379	0.764	0.232	0.015	0.448	0.249	0.433	55.164	53.637	1.527	0.184
186	mimmi_03	mimmi_03_FL_0_185	0.247	0.048	19.379	0.776	0.233	0.014	0.448	0.249	0.434	55.164	53.742	1.422	0.185
187	mimmi_03	mimmi_03_FL_0_186	0.247	0.048	19.379	0.789	0.234	0.013	0.448	0.249	0.435	55.164	53.848	1.316	0.186
188	mimmi_03	mimmi_03_FL_0_187	0.247	0.048	19.379	0.802	0.235	0.012	0.448	0.249	0.436	55.164	53.952	1.212	0.187
189	mimmi_03	mimmi_03_FL_0_188	0.247	0.048	19.379	0.816	0.236	0.011	0.448	0.249	0.437	55.164	54.057	1.107	0.188
190	mimmi_03	mimmi_03_FL_0_189	0.247	0.048	19.379	0.83	0.237	0.01	0.448	0.249	0.438	55.164	54.16	1.004	0.189
191	mimmi_03	mimmi_03_FL_0_190	0.247	0.048	19.379	0.844	0.238	0.009	0.448	0.249	0.439	55.164	54.264	0.9	0.19
192	mimmi_03	mimmi_03_FL_0_191	0.247	0.048	19.379	0.859	0.239	0.008	0.448	0.249	0.44	55.164	54.366	0.798	0.191
193	mimmi_03	mimmi_03_FL_0_192	0.247	0.048	19.379	0.875	0.24	0.007	0.448	0.249	0.441	55.164	54.469	0.695	0.192
194	mimmi_03	mimmi_03_FL_0_193	0.247	0.048	19.379	0.891	0.241	0.006	0.448	0.249	0.442	55.164	54.571	0.593	0.193
195	mimmi_03	mimmi_03_FL_0_194	0.247	0.048	19.379	0.908	0.242	0.005	0.448	0.249	0.443	55.164	54.672	0.492	0.194
196	mimmi_03	mimmi_03_FL_0_195	0.247	0.048	19.379	0.925	0.243	0.004	0.448	0.249	0.444	55.164	54.773	0.391	0.195
197	mimmi_03	mimmi_03_FL_0_196	0.247	0.048	19.379	0.943	0.244	0.003	0.448	0.249	0.445	55.164	54.874	0.29	0.196
198	mimmi_03	mimmi_03_FL_0_197	0.247	0.048	19.379	0.962	0.245	0.002	0.448	0.249	0.446	55.164	54.974	0.19	0.197
199	mimmi_03	mimmi_03_FL_0_198	0.247	0.048	19.379	0.981	0.246	0.0009	0.448	0.249	0.447	55.164	55.074	0.091	0.198
200	mimmi_03	mimmi_03_FL_0_199	0.247	0.048	19.379	1.002	0.247	-9e-005	0.448	0.249	0.448	55.164	55.173	-0.009	0.199
