stepID	filename	nameNew	riseOrig	l2Orig	h2Orig	riseNew	h2New	diffRise	n2
131	nelli_ch	nelli_ch_rise_4_5	13.1123	161.3699	344.1556	4.5123	209.4193	8.6	0.4519
131	nelli_ch	nelli_ch_rise_4_4	13.1123	161.3699	344.1556	4.4123	208.2131	8.7	0.4519
131	nelli_ch	nelli_ch_rise_4_3	13.1123	161.3699	344.1556	4.3123	207.0139	8.8	0.4519
131	nelli_ch	nelli_ch_rise_4_2	13.1123	161.3699	344.1556	4.2123	205.8216	8.9	0.4519
131	nelli_ch	nelli_ch_rise_4_1	13.1123	161.3699	344.1556	4.1123	204.6362	9	0.4519
131	nelli_ch	nelli_ch_rise_4_0	13.1123	161.3699	344.1556	4.0123	203.4575	9.1	0.4519
131	nelli_ch	nelli_ch_rise_3_9	13.1123	161.3699	344.1556	3.9123	202.2857	9.2	0.4519
131	nelli_ch	nelli_ch_rise_3_8	13.1123	161.3699	344.1556	3.8123	201.1206	9.3	0.4519
131	nelli_ch	nelli_ch_rise_3_7	13.1123	161.3699	344.1556	3.7123	199.9623	9.4	0.4519
131	nelli_ch	nelli_ch_rise_3_6	13.1123	161.3699	344.1556	3.6123	198.8106	9.5	0.4519
131	nelli_ch	nelli_ch_rise_3_5	13.1123	161.3699	344.1556	3.5123	197.6655	9.6	0.4519
131	nelli_ch	nelli_ch_rise_3_4	13.1123	161.3699	344.1556	3.4123	196.527	9.7	0.4519
131	nelli_ch	nelli_ch_rise_3_3	13.1123	161.3699	344.1556	3.3123	195.3951	9.8	0.4519
131	nelli_ch	nelli_ch_rise_3_2	13.1123	161.3699	344.1556	3.2123	194.2697	9.9	0.4519
131	nelli_ch	nelli_ch_rise_3_1	13.1123	161.3699	344.1556	3.1123	193.1508	10	0.4519
131	nelli_ch	nelli_ch_rise_3_0	13.1123	161.3699	344.1556	3.0123	192.0383	10.1	0.4519
131	nelli_ch	nelli_ch_rise_2_9	13.1123	161.3699	344.1556	2.9123	190.9323	10.2	0.4519
131	nelli_ch	nelli_ch_rise_2_8	13.1123	161.3699	344.1556	2.8123	189.8326	10.3	0.4519
