stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
441	mimmi_ch	mimmi_ch_FL_0_0316	0.2245	0.0607	18.7042	-1.1811	0.0922	0.1323	0.4882	0.3243	0.3581	45.9951	25.759	20.2362	0.0316
442	mimmi_ch	mimmi_ch_FL_0_0313	0.2245	0.0607	18.7042	-1.1861	0.0919	0.1326	0.4882	0.3243	0.3578	45.9951	25.6963	20.2988	0.0313
443	mimmi_ch	mimmi_ch_FL_0_0310	0.2245	0.0607	18.7042	-1.191	0.0916	0.1329	0.4882	0.3243	0.3575	45.9951	25.6336	20.3615	0.031
444	mimmi_ch	mimmi_ch_FL_0_0307	0.2245	0.0607	18.7042	-1.196	0.0913	0.1332	0.4882	0.3243	0.3572	45.9951	25.5708	20.4243	0.0307
445	mimmi_ch	mimmi_ch_FL_0_0304	0.2245	0.0607	18.7042	-1.2009	0.091	0.1335	0.4882	0.3243	0.3569	45.9951	25.5079	20.4872	0.0304
446	mimmi_ch	mimmi_ch_FL_0_0301	0.2245	0.0607	18.7042	-1.2059	0.0907	0.1338	0.4882	0.3243	0.3566	45.9951	25.4449	20.5502	0.0301
447	mimmi_ch	mimmi_ch_FL_0_0298	0.2245	0.0607	18.7042	-1.2108	0.0904	0.1341	0.4882	0.3243	0.3563	45.9951	25.3817	20.6134	0.0298
448	mimmi_ch	mimmi_ch_FL_0_0295	0.2245	0.0607	18.7042	-1.2158	0.0901	0.1344	0.4882	0.3243	0.356	45.9951	25.3185	20.6766	0.0295
449	mimmi_ch	mimmi_ch_FL_0_0292	0.2245	0.0607	18.7042	-1.2207	0.0898	0.1347	0.4882	0.3243	0.3557	45.9951	25.2552	20.7399	0.0292
450	mimmi_ch	mimmi_ch_FL_0_0289	0.2245	0.0607	18.7042	-1.2257	0.0895	0.135	0.4882	0.3243	0.3554	45.9951	25.1917	20.8034	0.0289
451	mimmi_ch	mimmi_ch_FL_0_0286	0.2245	0.0607	18.7042	-1.2306	0.0892	0.1353	0.4882	0.3243	0.3551	45.9951	25.1282	20.8669	0.0286
452	mimmi_ch	mimmi_ch_FL_0_0283	0.2245	0.0607	18.7042	-1.2355	0.0889	0.1356	0.4882	0.3243	0.3548	45.9951	25.0645	20.9306	0.0283
453	mimmi_ch	mimmi_ch_FL_0_0280	0.2245	0.0607	18.7042	-1.2405	0.0886	0.1359	0.4882	0.3243	0.3545	45.9951	25.0008	20.9943	0.028
454	mimmi_ch	mimmi_ch_FL_0_0277	0.2245	0.0607	18.7042	-1.2454	0.0883	0.1362	0.4882	0.3243	0.3542	45.9951	24.9369	21.0582	0.0277
455	mimmi_ch	mimmi_ch_FL_0_0274	0.2245	0.0607	18.7042	-1.2504	0.088	0.1365	0.4882	0.3243	0.3539	45.9951	24.8729	21.1222	0.0274
456	mimmi_ch	mimmi_ch_FL_0_0271	0.2245	0.0607	18.7042	-1.2553	0.0877	0.1368	0.4882	0.3243	0.3536	45.9951	24.8088	21.1863	0.0271
457	mimmi_ch	mimmi_ch_FL_0_0268	0.2245	0.0607	18.7042	-1.2603	0.0874	0.1371	0.4882	0.3243	0.3533	45.9951	24.7447	21.2504	0.0268
458	mimmi_ch	mimmi_ch_FL_0_0265	0.2245	0.0607	18.7042	-1.2652	0.0871	0.1374	0.4882	0.3243	0.3531	45.9951	24.6804	21.3147	0.0265
459	mimmi_ch	mimmi_ch_FL_0_0262	0.2245	0.0607	18.7042	-1.2702	0.0868	0.1377	0.4882	0.3243	0.3528	45.9951	24.616	21.3791	0.0262
460	mimmi_ch	mimmi_ch_FL_0_0259	0.2245	0.0607	18.7042	-1.2751	0.0865	0.138	0.4882	0.3243	0.3525	45.9951	24.5515	21.4437	0.0259
