stepID	filename	nameNew	p3Orig	p3Min	shortFC	p3New	diffp3	uttDurOrig	uttDurMin	uttDurNew
82	lilli_manu_03	lilli_manu_03_pause_0.410	0.53	0.005	0.04	0.41	0.12	1.6441	1.1141	1.5241
83	lilli_manu_03	lilli_manu_03_pause_0.415	0.53	0.005	0.0417	0.415	0.115	1.6441	1.1141	1.5291
84	lilli_manu_03	lilli_manu_03_pause_0.420	0.53	0.005	0.0435	0.42	0.11	1.6441	1.1141	1.5341
85	lilli_manu_03	lilli_manu_03_pause_0.425	0.53	0.005	0.0455	0.425	0.105	1.6441	1.1141	1.5391
86	lilli_manu_03	lilli_manu_03_pause_0.430	0.53	0.005	0.0476	0.43	0.1	1.6441	1.1141	1.5441
87	lilli_manu_03	lilli_manu_03_pause_0.435	0.53	0.005	0.05	0.435	0.095	1.6441	1.1141	1.5491
88	lilli_manu_03	lilli_manu_03_pause_0.440	0.53	0.005	0.0526	0.44	0.09	1.6441	1.1141	1.5541
89	lilli_manu_03	lilli_manu_03_pause_0.445	0.53	0.005	0.0556	0.445	0.085	1.6441	1.1141	1.5591
90	lilli_manu_03	lilli_manu_03_pause_0.450	0.53	0.005	0.0588	0.45	0.08	1.6441	1.1141	1.5641
91	lilli_manu_03	lilli_manu_03_pause_0.455	0.53	0.005	0.0625	0.455	0.075	1.6441	1.1141	1.5691
92	lilli_manu_03	lilli_manu_03_pause_0.460	0.53	0.005	0.0667	0.46	0.07	1.6441	1.1141	1.5741
93	lilli_manu_03	lilli_manu_03_pause_0.465	0.53	0.005	0.0714	0.465	0.065	1.6441	1.1141	1.5791
94	lilli_manu_03	lilli_manu_03_pause_0.470	0.53	0.005	0.0769	0.47	0.06	1.6441	1.1141	1.5841
95	lilli_manu_03	lilli_manu_03_pause_0.475	0.53	0.005	0.0833	0.475	0.055	1.6441	1.1141	1.5891
96	lilli_manu_03	lilli_manu_03_pause_0.480	0.53	0.005	0.0909	0.48	0.05	1.6441	1.1141	1.5941
97	lilli_manu_03	lilli_manu_03_pause_0.485	0.53	0.005	0.1	0.485	0.045	1.6441	1.1141	1.5991
98	lilli_manu_03	lilli_manu_03_pause_0.490	0.53	0.005	0.1111	0.49	0.04	1.6441	1.1141	1.6041
99	lilli_manu_03	lilli_manu_03_pause_0.495	0.53	0.005	0.125	0.495	0.035	1.6441	1.1141	1.6091
100	lilli_manu_03	lilli_manu_03_pause_0.500	0.53	0.005	0.1429	0.5	0.03	1.6441	1.1141	1.6141
101	lilli_manu_03	lilli_manu_03_pause_0.505	0.53	0.005	0.1667	0.505	0.025	1.6441	1.1141	1.6191
102	lilli_manu_03	lilli_manu_03_pause_0.510	0.53	0.005	0.2	0.51	0.02	1.6441	1.1141	1.6241
103	lilli_manu_03	lilli_manu_03_pause_0.515	0.53	0.005	0.25	0.515	0.015	1.6441	1.1141	1.6291
104	lilli_manu_03	lilli_manu_03_pause_0.520	0.53	0.005	0.3333	0.52	0.01	1.6441	1.1141	1.6341
105	lilli_manu_03	lilli_manu_03_pause_0.525	0.53	0.005	0.5	0.525	0.005	1.6441	1.1141	1.6391
106	lilli_manu_03	lilli_manu_03_pause_0.530	0.53	0.005	1	0.53	9e-006	1.6441	1.1141	1.6441
