stepID	filename	nameNew	p3Orig	p3Min	shortFC	p3New	diffp3	uttDurOrig	uttDurMin	uttDurNew
102	moni_lola_16	moni_lola_16_pause_0.510	0.79	0.005	0.0175	0.51	0.28	2.1687	1.3787	1.8887
103	moni_lola_16	moni_lola_16_pause_0.515	0.79	0.005	0.0179	0.515	0.275	2.1687	1.3787	1.8937
104	moni_lola_16	moni_lola_16_pause_0.520	0.79	0.005	0.0182	0.52	0.27	2.1687	1.3787	1.8987
105	moni_lola_16	moni_lola_16_pause_0.525	0.79	0.005	0.0185	0.525	0.265	2.1687	1.3787	1.9037
106	moni_lola_16	moni_lola_16_pause_0.530	0.79	0.005	0.0189	0.53	0.26	2.1687	1.3787	1.9087
107	moni_lola_16	moni_lola_16_pause_0.535	0.79	0.005	0.0192	0.535	0.255	2.1687	1.3787	1.9137
108	moni_lola_16	moni_lola_16_pause_0.540	0.79	0.005	0.0196	0.54	0.25	2.1687	1.3787	1.9187
109	moni_lola_16	moni_lola_16_pause_0.545	0.79	0.005	0.02	0.545	0.245	2.1687	1.3787	1.9237
110	moni_lola_16	moni_lola_16_pause_0.550	0.79	0.005	0.0204	0.55	0.24	2.1687	1.3787	1.9287
111	moni_lola_16	moni_lola_16_pause_0.555	0.79	0.005	0.0208	0.555	0.235	2.1687	1.3787	1.9337
112	moni_lola_16	moni_lola_16_pause_0.560	0.79	0.005	0.0213	0.56	0.23	2.1687	1.3787	1.9387
113	moni_lola_16	moni_lola_16_pause_0.565	0.79	0.005	0.0217	0.565	0.225	2.1687	1.3787	1.9437
114	moni_lola_16	moni_lola_16_pause_0.570	0.79	0.005	0.0222	0.57	0.22	2.1687	1.3787	1.9487
115	moni_lola_16	moni_lola_16_pause_0.575	0.79	0.005	0.0227	0.575	0.215	2.1687	1.3787	1.9537
116	moni_lola_16	moni_lola_16_pause_0.580	0.79	0.005	0.0233	0.58	0.21	2.1687	1.3787	1.9587
117	moni_lola_16	moni_lola_16_pause_0.585	0.79	0.005	0.0238	0.585	0.205	2.1687	1.3787	1.9637
118	moni_lola_16	moni_lola_16_pause_0.590	0.79	0.005	0.0244	0.59	0.2	2.1687	1.3787	1.9687
119	moni_lola_16	moni_lola_16_pause_0.595	0.79	0.005	0.025	0.595	0.195	2.1687	1.3787	1.9737
120	moni_lola_16	moni_lola_16_pause_0.600	0.79	0.005	0.0256	0.6	0.19	2.1687	1.3787	1.9787
121	moni_lola_16	moni_lola_16_pause_0.605	0.79	0.005	0.0263	0.605	0.185	2.1687	1.3787	1.9837
122	moni_lola_16	moni_lola_16_pause_0.610	0.79	0.005	0.027	0.61	0.18	2.1687	1.3787	1.9887
123	moni_lola_16	moni_lola_16_pause_0.615	0.79	0.005	0.0278	0.615	0.175	2.1687	1.3787	1.9937
124	moni_lola_16	moni_lola_16_pause_0.620	0.79	0.005	0.0286	0.62	0.17	2.1687	1.3787	1.9987
125	moni_lola_16	moni_lola_16_pause_0.625	0.79	0.005	0.0294	0.625	0.165	2.1687	1.3787	2.0037
126	moni_lola_16	moni_lola_16_pause_0.630	0.79	0.005	0.0303	0.63	0.16	2.1687	1.3787	2.0087
127	moni_lola_16	moni_lola_16_pause_0.635	0.79	0.005	0.0313	0.635	0.155	2.1687	1.3787	2.0137
128	moni_lola_16	moni_lola_16_pause_0.640	0.79	0.005	0.0323	0.64	0.15	2.1687	1.3787	2.0187
129	moni_lola_16	moni_lola_16_pause_0.645	0.79	0.005	0.0333	0.645	0.145	2.1687	1.3787	2.0237
130	moni_lola_16	moni_lola_16_pause_0.650	0.79	0.005	0.0345	0.65	0.14	2.1687	1.3787	2.0287
131	moni_lola_16	moni_lola_16_pause_0.655	0.79	0.005	0.0357	0.655	0.135	2.1687	1.3787	2.0337
132	moni_lola_16	moni_lola_16_pause_0.660	0.79	0.005	0.037	0.66	0.13	2.1687	1.3787	2.0387
133	moni_lola_16	moni_lola_16_pause_0.665	0.79	0.005	0.0385	0.665	0.125	2.1687	1.3787	2.0437
134	moni_lola_16	moni_lola_16_pause_0.670	0.79	0.005	0.04	0.67	0.12	2.1687	1.3787	2.0487
135	moni_lola_16	moni_lola_16_pause_0.675	0.79	0.005	0.0417	0.675	0.115	2.1687	1.3787	2.0537
136	moni_lola_16	moni_lola_16_pause_0.680	0.79	0.005	0.0435	0.68	0.11	2.1687	1.3787	2.0587
137	moni_lola_16	moni_lola_16_pause_0.685	0.79	0.005	0.0455	0.685	0.105	2.1687	1.3787	2.0637
138	moni_lola_16	moni_lola_16_pause_0.690	0.79	0.005	0.0476	0.69	0.1	2.1687	1.3787	2.0687
139	moni_lola_16	moni_lola_16_pause_0.695	0.79	0.005	0.05	0.695	0.095	2.1687	1.3787	2.0737
140	moni_lola_16	moni_lola_16_pause_0.700	0.79	0.005	0.0526	0.7	0.09	2.1687	1.3787	2.0787
141	moni_lola_16	moni_lola_16_pause_0.705	0.79	0.005	0.0556	0.705	0.085	2.1687	1.3787	2.0837
142	moni_lola_16	moni_lola_16_pause_0.710	0.79	0.005	0.0588	0.71	0.08	2.1687	1.3787	2.0887
143	moni_lola_16	moni_lola_16_pause_0.715	0.79	0.005	0.0625	0.715	0.075	2.1687	1.3787	2.0937
144	moni_lola_16	moni_lola_16_pause_0.720	0.79	0.005	0.0667	0.72	0.07	2.1687	1.3787	2.0987
145	moni_lola_16	moni_lola_16_pause_0.725	0.79	0.005	0.0714	0.725	0.065	2.1687	1.3787	2.1037
146	moni_lola_16	moni_lola_16_pause_0.730	0.79	0.005	0.0769	0.73	0.06	2.1687	1.3787	2.1087
147	moni_lola_16	moni_lola_16_pause_0.735	0.79	0.005	0.0833	0.735	0.055	2.1687	1.3787	2.1137
148	moni_lola_16	moni_lola_16_pause_0.740	0.79	0.005	0.0909	0.74	0.05	2.1687	1.3787	2.1187
149	moni_lola_16	moni_lola_16_pause_0.745	0.79	0.005	0.1	0.745	0.045	2.1687	1.3787	2.1237
150	moni_lola_16	moni_lola_16_pause_0.750	0.79	0.005	0.1111	0.75	0.04	2.1687	1.3787	2.1287
151	moni_lola_16	moni_lola_16_pause_0.755	0.79	0.005	0.125	0.755	0.035	2.1687	1.3787	2.1337
152	moni_lola_16	moni_lola_16_pause_0.760	0.79	0.005	0.1429	0.76	0.03	2.1687	1.3787	2.1387
153	moni_lola_16	moni_lola_16_pause_0.765	0.79	0.005	0.1667	0.765	0.025	2.1687	1.3787	2.1437
154	moni_lola_16	moni_lola_16_pause_0.770	0.79	0.005	0.2	0.77	0.02	2.1687	1.3787	2.1487
155	moni_lola_16	moni_lola_16_pause_0.775	0.79	0.005	0.25	0.775	0.015	2.1687	1.3787	2.1537
156	moni_lola_16	moni_lola_16_pause_0.780	0.79	0.005	0.3333	0.78	0.01	2.1687	1.3787	2.1587
157	moni_lola_16	moni_lola_16_pause_0.785	0.79	0.005	0.5	0.785	0.005	2.1687	1.3787	2.1637
158	moni_lola_16	moni_lola_16_pause_0.790	0.79	0.005	1	0.79	8e-006	2.1687	1.3787	2.1687
