stepID	filename	nameNew	p3Orig	p3Min	shortFC	p3New	uttDurOrig	uttDurMin	uttDurNew
139	lilli_lisa_ch	lilli_lisa_ch_pause_0_411	0.55	0	0.747	0.411	1.778	1.228	1.639
140	lilli_lisa_ch	lilli_lisa_ch_pause_0_410	0.55	0	0.745	0.41	1.778	1.228	1.638
141	lilli_lisa_ch	lilli_lisa_ch_pause_0_409	0.55	0	0.744	0.409	1.778	1.228	1.637
142	lilli_lisa_ch	lilli_lisa_ch_pause_0_408	0.55	0	0.742	0.408	1.778	1.228	1.636
143	lilli_lisa_ch	lilli_lisa_ch_pause_0_407	0.55	0	0.74	0.407	1.778	1.228	1.635
144	lilli_lisa_ch	lilli_lisa_ch_pause_0_406	0.55	0	0.738	0.406	1.778	1.228	1.634
145	lilli_lisa_ch	lilli_lisa_ch_pause_0_405	0.55	0	0.736	0.405	1.778	1.228	1.633
146	lilli_lisa_ch	lilli_lisa_ch_pause_0_404	0.55	0	0.735	0.404	1.778	1.228	1.632
147	lilli_lisa_ch	lilli_lisa_ch_pause_0_403	0.55	0	0.733	0.403	1.778	1.228	1.631
148	lilli_lisa_ch	lilli_lisa_ch_pause_0_402	0.55	0	0.731	0.402	1.778	1.228	1.63
149	lilli_lisa_ch	lilli_lisa_ch_pause_0_401	0.55	0	0.729	0.401	1.778	1.228	1.629
150	lilli_lisa_ch	lilli_lisa_ch_pause_0_400	0.55	0	0.727	0.4	1.778	1.228	1.628
151	lilli_lisa_ch	lilli_lisa_ch_pause_0_399	0.55	0	0.725	0.399	1.778	1.228	1.627
152	lilli_lisa_ch	lilli_lisa_ch_pause_0_398	0.55	0	0.724	0.398	1.778	1.228	1.626
153	lilli_lisa_ch	lilli_lisa_ch_pause_0_397	0.55	0	0.722	0.397	1.778	1.228	1.625
154	lilli_lisa_ch	lilli_lisa_ch_pause_0_396	0.55	0	0.72	0.396	1.778	1.228	1.624
155	lilli_lisa_ch	lilli_lisa_ch_pause_0_395	0.55	0	0.718	0.395	1.778	1.228	1.623
156	lilli_lisa_ch	lilli_lisa_ch_pause_0_394	0.55	0	0.716	0.394	1.778	1.228	1.622
157	lilli_lisa_ch	lilli_lisa_ch_pause_0_393	0.55	0	0.715	0.393	1.778	1.228	1.621
158	lilli_lisa_ch	lilli_lisa_ch_pause_0_392	0.55	0	0.713	0.392	1.778	1.228	1.62
159	lilli_lisa_ch	lilli_lisa_ch_pause_0_391	0.55	0	0.711	0.391	1.778	1.228	1.619
160	lilli_lisa_ch	lilli_lisa_ch_pause_0_390	0.55	0	0.709	0.39	1.778	1.228	1.618
161	lilli_lisa_ch	lilli_lisa_ch_pause_0_389	0.55	0	0.707	0.389	1.778	1.228	1.618
162	lilli_lisa_ch	lilli_lisa_ch_pause_0_388	0.55	0	0.705	0.388	1.778	1.228	1.617
163	lilli_lisa_ch	lilli_lisa_ch_pause_0_387	0.55	0	0.704	0.387	1.778	1.228	1.616
164	lilli_lisa_ch	lilli_lisa_ch_pause_0_386	0.55	0	0.702	0.386	1.778	1.228	1.615
165	lilli_lisa_ch	lilli_lisa_ch_pause_0_385	0.55	0	0.7	0.385	1.778	1.228	1.614
166	lilli_lisa_ch	lilli_lisa_ch_pause_0_384	0.55	0	0.698	0.384	1.778	1.228	1.613
167	lilli_lisa_ch	lilli_lisa_ch_pause_0_383	0.55	0	0.696	0.383	1.778	1.228	1.612
168	lilli_lisa_ch	lilli_lisa_ch_pause_0_382	0.55	0	0.695	0.382	1.778	1.228	1.611
169	lilli_lisa_ch	lilli_lisa_ch_pause_0_381	0.55	0	0.693	0.381	1.778	1.228	1.61
170	lilli_lisa_ch	lilli_lisa_ch_pause_0_380	0.55	0	0.691	0.38	1.778	1.228	1.609
171	lilli_lisa_ch	lilli_lisa_ch_pause_0_379	0.55	0	0.689	0.379	1.778	1.228	1.608
172	lilli_lisa_ch	lilli_lisa_ch_pause_0_378	0.55	0	0.687	0.378	1.778	1.228	1.607
173	lilli_lisa_ch	lilli_lisa_ch_pause_0_377	0.55	0	0.685	0.377	1.778	1.228	1.606
174	lilli_lisa_ch	lilli_lisa_ch_pause_0_376	0.55	0	0.684	0.376	1.778	1.228	1.605
175	lilli_lisa_ch	lilli_lisa_ch_pause_0_375	0.55	0	0.682	0.375	1.778	1.228	1.604
176	lilli_lisa_ch	lilli_lisa_ch_pause_0_374	0.55	0	0.68	0.374	1.778	1.228	1.603
177	lilli_lisa_ch	lilli_lisa_ch_pause_0_373	0.55	0	0.678	0.373	1.778	1.228	1.602
178	lilli_lisa_ch	lilli_lisa_ch_pause_0_372	0.55	0	0.676	0.372	1.778	1.228	1.601
179	lilli_lisa_ch	lilli_lisa_ch_pause_0_371	0.55	0	0.675	0.371	1.778	1.228	1.6
180	lilli_lisa_ch	lilli_lisa_ch_pause_0_370	0.55	0	0.673	0.37	1.778	1.228	1.599
181	lilli_lisa_ch	lilli_lisa_ch_pause_0_369	0.55	0	0.671	0.369	1.778	1.228	1.598
182	lilli_lisa_ch	lilli_lisa_ch_pause_0_368	0.55	0	0.669	0.368	1.778	1.228	1.597
183	lilli_lisa_ch	lilli_lisa_ch_pause_0_367	0.55	0	0.667	0.367	1.778	1.228	1.596
184	lilli_lisa_ch	lilli_lisa_ch_pause_0_366	0.55	0	0.665	0.366	1.778	1.228	1.595
185	lilli_lisa_ch	lilli_lisa_ch_pause_0_365	0.55	0	0.664	0.365	1.778	1.228	1.594
186	lilli_lisa_ch	lilli_lisa_ch_pause_0_364	0.55	0	0.662	0.364	1.778	1.228	1.593
187	lilli_lisa_ch	lilli_lisa_ch_pause_0_363	0.55	0	0.66	0.363	1.778	1.228	1.592
188	lilli_lisa_ch	lilli_lisa_ch_pause_0_362	0.55	0	0.658	0.362	1.778	1.228	1.591
189	lilli_lisa_ch	lilli_lisa_ch_pause_0_361	0.55	0	0.656	0.361	1.778	1.228	1.59
190	lilli_lisa_ch	lilli_lisa_ch_pause_0_360	0.55	0	0.655	0.36	1.778	1.228	1.589
191	lilli_lisa_ch	lilli_lisa_ch_pause_0_359	0.55	0	0.653	0.359	1.778	1.228	1.588
192	lilli_lisa_ch	lilli_lisa_ch_pause_0_358	0.55	0	0.651	0.358	1.778	1.228	1.587
193	lilli_lisa_ch	lilli_lisa_ch_pause_0_357	0.55	0	0.649	0.357	1.778	1.228	1.586
194	lilli_lisa_ch	lilli_lisa_ch_pause_0_356	0.55	0	0.647	0.356	1.778	1.228	1.585
195	lilli_lisa_ch	lilli_lisa_ch_pause_0_355	0.55	0	0.645	0.355	1.778	1.228	1.584
196	lilli_lisa_ch	lilli_lisa_ch_pause_0_354	0.55	0	0.644	0.354	1.778	1.228	1.583
197	lilli_lisa_ch	lilli_lisa_ch_pause_0_353	0.55	0	0.642	0.353	1.778	1.228	1.582
198	lilli_lisa_ch	lilli_lisa_ch_pause_0_352	0.55	0	0.64	0.352	1.778	1.228	1.581
199	lilli_lisa_ch	lilli_lisa_ch_pause_0_351	0.55	0	0.638	0.351	1.778	1.228	1.58
200	lilli_lisa_ch	lilli_lisa_ch_pause_0_350	0.55	0	0.636	0.35	1.778	1.228	1.579
201	lilli_lisa_ch	lilli_lisa_ch_pause_0_349	0.55	0	0.635	0.349	1.778	1.228	1.578
202	lilli_lisa_ch	lilli_lisa_ch_pause_0_348	0.55	0	0.633	0.348	1.778	1.228	1.577
203	lilli_lisa_ch	lilli_lisa_ch_pause_0_347	0.55	0	0.631	0.347	1.778	1.228	1.576
204	lilli_lisa_ch	lilli_lisa_ch_pause_0_346	0.55	0	0.629	0.346	1.778	1.228	1.575
205	lilli_lisa_ch	lilli_lisa_ch_pause_0_345	0.55	0	0.627	0.345	1.778	1.228	1.574
206	lilli_lisa_ch	lilli_lisa_ch_pause_0_344	0.55	0	0.625	0.344	1.778	1.228	1.573
207	lilli_lisa_ch	lilli_lisa_ch_pause_0_343	0.55	0	0.624	0.343	1.778	1.228	1.572
208	lilli_lisa_ch	lilli_lisa_ch_pause_0_342	0.55	0	0.622	0.342	1.778	1.228	1.571
209	lilli_lisa_ch	lilli_lisa_ch_pause_0_341	0.55	0	0.62	0.341	1.778	1.228	1.57
210	lilli_lisa_ch	lilli_lisa_ch_pause_0_340	0.55	0	0.618	0.34	1.778	1.228	1.569
211	lilli_lisa_ch	lilli_lisa_ch_pause_0_339	0.55	0	0.616	0.339	1.778	1.228	1.568
212	lilli_lisa_ch	lilli_lisa_ch_pause_0_338	0.55	0	0.615	0.338	1.778	1.228	1.567
213	lilli_lisa_ch	lilli_lisa_ch_pause_0_337	0.55	0	0.613	0.337	1.778	1.228	1.566
214	lilli_lisa_ch	lilli_lisa_ch_pause_0_336	0.55	0	0.611	0.336	1.778	1.228	1.565
215	lilli_lisa_ch	lilli_lisa_ch_pause_0_335	0.55	0	0.609	0.335	1.778	1.228	1.564
216	lilli_lisa_ch	lilli_lisa_ch_pause_0_334	0.55	0	0.607	0.334	1.778	1.228	1.563
217	lilli_lisa_ch	lilli_lisa_ch_pause_0_333	0.55	0	0.605	0.333	1.778	1.228	1.562
218	lilli_lisa_ch	lilli_lisa_ch_pause_0_332	0.55	0	0.604	0.332	1.778	1.228	1.561
219	lilli_lisa_ch	lilli_lisa_ch_pause_0_331	0.55	0	0.602	0.331	1.778	1.228	1.56
220	lilli_lisa_ch	lilli_lisa_ch_pause_0_330	0.55	0	0.6	0.33	1.778	1.228	1.559
221	lilli_lisa_ch	lilli_lisa_ch_pause_0_329	0.55	0	0.598	0.329	1.778	1.228	1.558
222	lilli_lisa_ch	lilli_lisa_ch_pause_0_328	0.55	0	0.596	0.328	1.778	1.228	1.557
223	lilli_lisa_ch	lilli_lisa_ch_pause_0_327	0.55	0	0.595	0.327	1.778	1.228	1.556
224	lilli_lisa_ch	lilli_lisa_ch_pause_0_326	0.55	0	0.593	0.326	1.778	1.228	1.555
225	lilli_lisa_ch	lilli_lisa_ch_pause_0_325	0.55	0	0.591	0.325	1.778	1.228	1.554
226	lilli_lisa_ch	lilli_lisa_ch_pause_0_324	0.55	0	0.589	0.324	1.778	1.228	1.553
227	lilli_lisa_ch	lilli_lisa_ch_pause_0_323	0.55	0	0.587	0.323	1.778	1.228	1.552
228	lilli_lisa_ch	lilli_lisa_ch_pause_0_322	0.55	0	0.585	0.322	1.778	1.228	1.551
229	lilli_lisa_ch	lilli_lisa_ch_pause_0_321	0.55	0	0.584	0.321	1.778	1.228	1.55
230	lilli_lisa_ch	lilli_lisa_ch_pause_0_320	0.55	0	0.582	0.32	1.778	1.228	1.549
231	lilli_lisa_ch	lilli_lisa_ch_pause_0_319	0.55	0	0.58	0.319	1.778	1.228	1.548
232	lilli_lisa_ch	lilli_lisa_ch_pause_0_318	0.55	0	0.578	0.318	1.778	1.228	1.547
233	lilli_lisa_ch	lilli_lisa_ch_pause_0_317	0.55	0	0.576	0.317	1.778	1.228	1.546
234	lilli_lisa_ch	lilli_lisa_ch_pause_0_316	0.55	0	0.575	0.316	1.778	1.228	1.545
235	lilli_lisa_ch	lilli_lisa_ch_pause_0_315	0.55	0	0.573	0.315	1.778	1.228	1.544
236	lilli_lisa_ch	lilli_lisa_ch_pause_0_314	0.55	0	0.571	0.314	1.778	1.228	1.543
237	lilli_lisa_ch	lilli_lisa_ch_pause_0_313	0.55	0	0.569	0.313	1.778	1.228	1.542
238	lilli_lisa_ch	lilli_lisa_ch_pause_0_312	0.55	0	0.567	0.312	1.778	1.228	1.541
239	lilli_lisa_ch	lilli_lisa_ch_pause_0_311	0.55	0	0.565	0.311	1.778	1.228	1.54
240	lilli_lisa_ch	lilli_lisa_ch_pause_0_310	0.55	0	0.564	0.31	1.778	1.228	1.539
241	lilli_lisa_ch	lilli_lisa_ch_pause_0_309	0.55	0	0.562	0.309	1.778	1.228	1.538
242	lilli_lisa_ch	lilli_lisa_ch_pause_0_308	0.55	0	0.56	0.308	1.778	1.228	1.537
