stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
159	lilli_10	lilli_10_FL_0_158	0.244	0.043	19.9	0.501	0.202	0.043	0.418	0.217	0.375	58.425	53.705	4.72	0.158
160	lilli_10	lilli_10_FL_0_159	0.244	0.043	19.9	0.507	0.203	0.042	0.418	0.217	0.376	58.425	53.827	4.598	0.159
161	lilli_10	lilli_10_FL_0_160	0.244	0.043	19.9	0.513	0.204	0.041	0.418	0.217	0.377	58.425	53.948	4.477	0.16
162	lilli_10	lilli_10_FL_0_161	0.244	0.043	19.9	0.519	0.205	0.04	0.418	0.217	0.378	58.425	54.069	4.357	0.161
163	lilli_10	lilli_10_FL_0_162	0.244	0.043	19.9	0.525	0.206	0.039	0.418	0.217	0.379	58.425	54.189	4.237	0.162
164	lilli_10	lilli_10_FL_0_163	0.244	0.043	19.9	0.532	0.207	0.038	0.418	0.217	0.38	58.425	54.308	4.117	0.163
165	lilli_10	lilli_10_FL_0_164	0.244	0.043	19.9	0.538	0.208	0.037	0.418	0.217	0.381	58.425	54.426	3.999	0.164
166	lilli_10	lilli_10_FL_0_165	0.244	0.043	19.9	0.545	0.209	0.036	0.418	0.217	0.382	58.425	54.544	3.881	0.165
167	lilli_10	lilli_10_FL_0_166	0.244	0.043	19.9	0.552	0.21	0.035	0.418	0.217	0.383	58.425	54.662	3.763	0.166
168	lilli_10	lilli_10_FL_0_167	0.244	0.043	19.9	0.559	0.211	0.034	0.418	0.217	0.384	58.425	54.779	3.647	0.167
169	lilli_10	lilli_10_FL_0_168	0.244	0.043	19.9	0.566	0.212	0.033	0.418	0.217	0.385	58.425	54.895	3.53	0.168
170	lilli_10	lilli_10_FL_0_169	0.244	0.043	19.9	0.574	0.212	0.032	0.418	0.217	0.386	58.425	55.01	3.415	0.169
171	lilli_10	lilli_10_FL_0_170	0.244	0.043	19.9	0.582	0.213	0.031	0.418	0.217	0.387	58.425	55.125	3.3	0.17
172	lilli_10	lilli_10_FL_0_171	0.244	0.043	19.9	0.59	0.214	0.03	0.418	0.217	0.388	58.425	55.24	3.185	0.171
173	lilli_10	lilli_10_FL_0_172	0.244	0.043	19.9	0.598	0.215	0.029	0.418	0.217	0.389	58.425	55.354	3.072	0.172
174	lilli_10	lilli_10_FL_0_173	0.244	0.043	19.9	0.606	0.216	0.028	0.418	0.217	0.39	58.425	55.467	2.958	0.173
175	lilli_10	lilli_10_FL_0_174	0.244	0.043	19.9	0.615	0.217	0.027	0.418	0.217	0.391	58.425	55.58	2.846	0.174
176	lilli_10	lilli_10_FL_0_175	0.244	0.043	19.9	0.624	0.218	0.026	0.418	0.217	0.392	58.425	55.692	2.734	0.175
177	lilli_10	lilli_10_FL_0_176	0.244	0.043	19.9	0.633	0.219	0.025	0.418	0.217	0.393	58.425	55.803	2.622	0.176
178	lilli_10	lilli_10_FL_0_177	0.244	0.043	19.9	0.642	0.22	0.024	0.418	0.217	0.394	58.425	55.914	2.511	0.177
179	lilli_10	lilli_10_FL_0_178	0.244	0.043	19.9	0.652	0.221	0.023	0.418	0.217	0.395	58.425	56.025	2.401	0.178
180	lilli_10	lilli_10_FL_0_179	0.244	0.043	19.9	0.662	0.222	0.022	0.418	0.217	0.396	58.425	56.135	2.291	0.179
181	lilli_10	lilli_10_FL_0_180	0.244	0.043	19.9	0.672	0.223	0.021	0.418	0.217	0.397	58.425	56.244	2.181	0.18
182	lilli_10	lilli_10_FL_0_181	0.244	0.043	19.9	0.683	0.224	0.02	0.418	0.217	0.398	58.425	56.353	2.073	0.181
183	lilli_10	lilli_10_FL_0_182	0.244	0.043	19.9	0.694	0.225	0.019	0.418	0.217	0.399	58.425	56.461	1.964	0.182
184	lilli_10	lilli_10_FL_0_183	0.244	0.043	19.9	0.705	0.226	0.018	0.418	0.217	0.4	58.425	56.569	1.857	0.183
185	lilli_10	lilli_10_FL_0_184	0.244	0.043	19.9	0.717	0.227	0.017	0.418	0.217	0.401	58.425	56.676	1.749	0.184
186	lilli_10	lilli_10_FL_0_185	0.244	0.043	19.9	0.729	0.228	0.016	0.418	0.217	0.402	58.425	56.783	1.643	0.185
187	lilli_10	lilli_10_FL_0_186	0.244	0.043	19.9	0.741	0.229	0.015	0.418	0.217	0.403	58.425	56.889	1.537	0.186
188	lilli_10	lilli_10_FL_0_187	0.244	0.043	19.9	0.754	0.23	0.014	0.418	0.217	0.404	58.425	56.994	1.431	0.187
189	lilli_10	lilli_10_FL_0_188	0.244	0.043	19.9	0.768	0.231	0.013	0.418	0.217	0.405	58.425	57.099	1.326	0.188
190	lilli_10	lilli_10_FL_0_189	0.244	0.043	19.9	0.782	0.232	0.012	0.418	0.217	0.406	58.425	57.204	1.221	0.189
191	lilli_10	lilli_10_FL_0_190	0.244	0.043	19.9	0.796	0.233	0.011	0.418	0.217	0.407	58.425	57.308	1.117	0.19
192	lilli_10	lilli_10_FL_0_191	0.244	0.043	19.9	0.811	0.234	0.01	0.418	0.217	0.408	58.425	57.412	1.014	0.191
